inei_ccpp;inei_distrito;departamento;provincia;distrito;ccpp
101010001;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS
101020001;10102;AMAZONAS;CHACHAPOYAS;ASUNCION;ASUNCION
101030001;10103;AMAZONAS;CHACHAPOYAS;BALSAS;BALSAS
101040001;10104;AMAZONAS;CHACHAPOYAS;CHETO;CHETO
101050001;10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;CHILIQUIN
101060001;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;CHUQUIBAMBA
101070001;10107;AMAZONAS;CHACHAPOYAS;GRANADA;GRANADA
101080001;10108;AMAZONAS;CHACHAPOYAS;HUANCAS;HUANCAS
101090001;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;LA JALCA
101100001;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;LEIMEBAMBA
101110001;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;LEVANTO
101120001;10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;MAGDALENA
101130001;10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;DURAZNOPAMPA
101140001;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;MOLINOPAMPA
101150001;10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;MONTEVIDEO
101160001;10116;AMAZONAS;CHACHAPOYAS;OLLEROS;OLLEROS
101170001;10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;QUINJALCA
101180001;10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;DAGUAS
101190001;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;MAINO
101200001;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;SOLOCO
101210001;10121;AMAZONAS;CHACHAPOYAS;SONCHE;SAN JUAN DE SONCHE
102010001;10201;AMAZONAS;BAGUA;BAGUA;BAGUA
102020001;10202;AMAZONAS;BAGUA;ARAMANGO;ARAMANGO
102030001;10203;AMAZONAS;BAGUA;COPALLIN;COPALLIN
102040001;10204;AMAZONAS;BAGUA;EL PARCO;EL PARCO
102050001;10205;AMAZONAS;BAGUA;IMAZA;CHIRIACO
102060001;10206;AMAZONAS;BAGUA;LA PECA;LA PECA
103010001;10301;AMAZONAS;BONGARA;JUMBILLA;JUMBILLA
103020001;10302;AMAZONAS;BONGARA;CHISQUILLA;CHISQUILLA
103030001;10303;AMAZONAS;BONGARA;CHURUJA;CHURUJA
103040001;10304;AMAZONAS;BONGARA;COROSHA;COROSHA
103050001;10305;AMAZONAS;BONGARA;CUISPES;CUISPES
103060001;10306;AMAZONAS;BONGARA;FLORIDA;FLORIDA (POMACOCHAS)
103070001;10307;AMAZONAS;BONGARA;JAZAN;PEDRO RUIZ GALLO
103080001;10308;AMAZONAS;BONGARA;RECTA;RECTA
103090001;10309;AMAZONAS;BONGARA;SAN CARLOS;SAN CARLOS
103100001;10310;AMAZONAS;BONGARA;SHIPASBAMBA;SHIPASBAMBA
103110001;10311;AMAZONAS;BONGARA;VALERA;VALERA (SAN PABLO)
103120001;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;YAMBRASBAMBA
104010001;10401;AMAZONAS;CONDORCANQUI;NIEVA;SANTA MARIA DE NIEVA
104020001;10402;AMAZONAS;CONDORCANQUI;EL CENEPA;HUAMPAMI
104030001;10403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;PUERTO GALILEA
105010001;10501;AMAZONAS;LUYA;LAMUD;LAMUD
105020001;10502;AMAZONAS;LUYA;CAMPORREDONDO;CAMPORREDONDO
